Date,In,Out,Task,Daily Hours,Hourly Rate,Daily Cost,Total Cost,Weekly Hours
01/01/2025,09:00,17:00,Development,8,50,$400.00,N/A,8
01/02/2025,09:15,17:15,Design,8,50,$400.00,N/A,8
01/03/2025,09:00,16:30,Consultation,7.5,60,$450.00,N/A,7.5
01/04/2025,09:30,17:30,Development,8,50,$400.00,N/A,8
01/05/2025,09:00,17:00,Writing,8,40,$320.00,N/A,8
01/06/2025,10:00,15:00,Meeting,5,50,$250.00,N/A,5
01/07/2025,09:00,17:00,Development,8,50,$400.00,N/A,8
01/08/2025,09:00,17:00,Research,8,45,$360.00,N/A,8
01/09/2025,09:15,17:15,Design,8,50,$400.00,N/A,8
01/10/2025,09:00,16:00,Consultation,7,60,$420.00,N/A,7
01/11/2025,09:00,17:00,Development,8,50,$400.00,N/A,8
01/12/2025,09:30,17:30,Writing,8,40,$320.00,N/A,8
01/13/2025,09:00,17:00,Development,8,50,$400.00,N/A,8
Total:, , , , 96.5, , $4860.00, $4860.00, 96.5
